1	548432_0_13	1
1	107200_4_6	0
1	175502_0_4	0
1	107766_2_1	0
1	114284_0_2	0
1	388650_5_6	1
1	32396_2_2	1
1	30401_0_37	1
1	25378_1_0	0
1	41662_0_3	1
1	327267_0_12	1
1	470556_0_6	1
1	449661_2_71	1
1	105303_1_4	0
1	297950_0_24	1
1	377038_0_7	0
1	463272_0_16	0
1	339841_0_11	0
1	269312_0_5	1
1	98705_0_29	0
1	47686_0_9	1
1	492215_0_9	0
1	467279_1_17	1
1	310878_5_0	0
1	252321_0_17	0
1	333822_0_18	1
1	106696_0_4	0
1	91875_0_28	1
1	28636_1_32	0
1	275982_0_8	0
1	260490_0_6	1
1	196970_0_5	1
1	309074_0_18	0
1	315645_1_0	0
1	98596_0_9	0
1	116879_0_3	1
1	489057_0_2	0
1	275908_5_12	1
1	240285_0_24	0
1	98376_0_4	0
1	336980_0_1	0
1	139058_0_10	0
1	326307_0_10	0
1	508058_3_2	0
1	269703_2_1	0
1	539311_2_16	0
1	533212_0_14	0
1	365015_0_10	1
1	338272_0_0	0
1	21704_0_4	1
1	239590_0_6	1
1	236324_0_14	0
1	263295_0_14	0
1	244612_0_10	0
1	98788_0_5	0
1	114823_0_66	0
1	20821_0_30	1
1	461390_1_0	0
1	105519_0_1	1
1	362572_0_2	1
1	98315_0_10	1
1	141038_0_1	0
1	435990_1_3	0
1	218369_0_21	0
1	99306_27_5	0
1	83702_0_5	1
1	11420_0_8	0
1	395361_2_27	0
1	475442_0_26	0
1	98302_0_37	0
1	405398_0_163	0
1	27806_0_30	1
1	418747_0_16	1
1	121123_1_6	1
1	84534_0_10	0
1	52044_0_20	1
1	189266_2_7	0
1	115266_0_57	0
1	479445_0_1	0
1	12947_0_44	0
1	176883_0_12	0
1	186337_0_3	0
1	126912_1_0	0
1	432821_0_7	1
1	324267_0_12	1
1	98174_0_30	0
1	83268_19_11	0
1	73085_0_0	0
1	528546_0_5	0
1	65674_2_7	0
1	98295_1_44	0
1	219369_5_5	0
1	438005_3_4	0
1	225658_0_0	0
1	231074_12_10	0
1	440260_0_0	0
1	98316_0_0	0
1	406673_1_62	1
1	381104_0_26	1
1	523758_1_5	0
1	189541_0_0	0
1	111966_0_11	1
1	424186_0_6	1
1	98699_1_37	0
1	116139_1_0	0
1	476726_0_13	1
1	544787_0_1	0
1	74988_0_14	0
1	148570_1_0	1
1	265803_94_17	0
1	408592_0_78	1
1	428070_0_20	0
1	401657_0_3	0
1	458650_0_1	0
1	433171_1_3	1
1	363962_1_6	0
1	216241_1_29	0
1	260678_0_6	0
1	15571_0_10	0
1	450743_0_1	0
1	62454_0_15	0
1	304395_0_80	1
1	161754_62_6	0
1	19407_0_8	0
1	207102_0_30	1
1	190491_0_1	0
1	425915_3_1	1
1	465051_0_1	0
1	335041_0_9	0
1	491760_6_14	0
1	501279_0_1	0
1	197961_0_2	0
1	152725_0_1	0
1	114888_0_15	0
1	98714_0_0	0
1	488921_0_3	0
1	230329_0_109	0
1	253552_0_18	1
1	336420_0_0	1
1	118125_0_15	1
1	492675_0_0	0
1	539209_0_17	1
1	504558_0_21	1
1	468281_0_19	1
1	551225_0_0	0
1	180414_1_21	1
1	28073_0_88	1
1	116229_0_8	0
1	98136_0_21	0
1	399889_0_0	0
1	130634_0_9	0
1	170072_0_9	0
1	57643_2_2	0
1	526768_0_10	0
1	498370_0_3	1
1	291093_0_11	0
1	275125_0_5	0
1	252582_0_12	0
1	258883_2_28	0
1	549630_2_2	0
1	341053_0_15	0
1	88226_0_15	1
1	506594_0_71	0
1	133340_0_8	1
1	123357_0_17	0
1	428935_0_12	0
1	399008_1_6	0
1	143813_1_2	0
1	265954_0_44	1
1	191697_0_1	0
1	542686_0_2	0
1	21919_0_4	0
1	214137_0_49	1
1	550632_0_0	0
1	43179_0_8	0
1	419551_0_14	1
1	228356_0_30	0
1	207454_0_53	0
1	506524_0_6	0
1	12178_0_3	1
1	190804_1_19	0
1	479388_2_13	0
1	124775_2_7	0
1	518487_0_13	0
1	483452_0_7	0
1	4083_0_7	1
1	67588_0_12	0
1	444584_0_9	1
1	323651_2_16	1
1	119585_25_1	0
1	437320_0_4	0
1	443220_0_7	1
1	98226_0_95	0
1	505304_0_30	1
1	98277_0_77	0
1	407049_0_48	1
1	367488_0_23	0
1	13190_1_91	0
1	343927_0_21	1
1	272150_1_3	0
1	500887_0_4	1
1	349337_0_1	0
1	73085_0_1	0
