0	1	Q0	s_2748_295_1	1	0.7283329367637634	Formula-ML_SentenceTransformers_0.25
1	1	Q0	s_2334_184_19	2	0.7236073017120361	Formula-ML_SentenceTransformers_0.25
2	1	Q0	s_2449_143_16	3	0.6979935169219971	Formula-ML_SentenceTransformers_0.25
3	1	Q0	s_2286_168_4	4	0.6950356364250183	Formula-ML_SentenceTransformers_0.25
4	1	Q0	s_598_1048_0	5	0.6950356364250183	Formula-ML_SentenceTransformers_0.25
5	1	Q0	s_356_16_0	6	0.6913561820983887	Formula-ML_SentenceTransformers_0.25
6	1	Q0	s_131_921_5	7	0.6854335069656372	Formula-ML_SentenceTransformers_0.25
7	1	Q0	s_2334_184_9	8	0.6810334324836731	Formula-ML_SentenceTransformers_0.25
8	1	Q0	s_3044_666_2	9	0.678045392036438	Formula-ML_SentenceTransformers_0.25
9	1	Q0	s_2139_27_1	10	0.6727453470230103	Formula-ML_SentenceTransformers_0.25
10	1	Q0	s_2139_332_7	11	0.6723971366882324	Formula-ML_SentenceTransformers_0.25
11	1	Q0	s_1455_334_3	12	0.6697655320167542	Formula-ML_SentenceTransformers_0.25
12	1	Q0	s_537_33_2	13	0.669100284576416	Formula-ML_SentenceTransformers_0.25
13	1	Q0	s_411_1189_1	14	0.6677849292755127	Formula-ML_SentenceTransformers_0.25
14	1	Q0	s_356_57_2	15	0.6666104197502136	Formula-ML_SentenceTransformers_0.25
15	1	Q0	s_697_53_3	16	0.6657202839851379	Formula-ML_SentenceTransformers_0.25
16	1	Q0	s_2007_780_7	17	0.6651259064674377	Formula-ML_SentenceTransformers_0.25
17	1	Q0	s_1265_334_1	18	0.6643750667572021	Formula-ML_SentenceTransformers_0.25
18	1	Q0	s_2625_304_2	19	0.6624690294265747	Formula-ML_SentenceTransformers_0.25
19	1	Q0	s_349_414_0	20	0.6624689102172852	Formula-ML_SentenceTransformers_0.25
20	1	Q0	s_2815_225_131	21	0.6623857021331787	Formula-ML_SentenceTransformers_0.25
21	1	Q0	s_1933_175_38	22	0.6619606018066406	Formula-ML_SentenceTransformers_0.25
